page_id	page_in_chunk	baseline_chars	visual_text_present	retrieval_class	note
chunk_010:p0060	60	1494	yes	high_noise	Conspicuous mixed-script / generative-looking hallucination in baseline OCR; visible manuscript text is substantially more coherent than OCR. Retrieval only; close transcription required before quotation.
chunk_010:p0061	61	1411	yes	usable_with_noise	
chunk_010:p0062	62	1454	yes	usable_with_noise	
chunk_010:p0063	63	1468	yes	usable_with_noise	
chunk_010:p0064	64	1387	yes	usable_with_noise	
chunk_010:p0065	65	1374	yes	usable_with_noise	
chunk_010:p0066	66	1652	yes	usable_with_noise	
chunk_010:p0067	67	1314	yes	usable_with_noise	
chunk_010:p0068	68	1304	yes	usable_with_noise	
chunk_010:p0069	69	1343	yes	usable_with_noise	
chunk_010:p0070	70	1449	yes	usable_with_noise	
chunk_010:p0071	71	1307	yes	usable_with_noise	
chunk_010:p0072	72	1305	yes	usable_with_noise	
chunk_010:p0073	73	1331	yes	usable_with_noise	
chunk_010:p0074	74	1283	yes	usable_with_noise	
chunk_010:p0075	75	1326	yes	usable_with_noise	
chunk_010:p0076	76	1577	yes	usable_with_noise	
chunk_010:p0077	77	1400	yes	usable_with_noise	
chunk_010:p0078	78	1264	yes	usable_with_noise	
chunk_010:p0079	79	1314	yes	usable_with_noise	
chunk_010:p0080	80	1324	yes	usable_with_noise	
chunk_010:p0081	81	1335	yes	usable_with_noise	
chunk_010:p0082	82	1417	yes	usable_with_noise	
chunk_010:p0083	83	1438	yes	usable_with_noise	
chunk_010:p0084	84	1346	yes	usable_with_noise	
chunk_010:p0085	85	1451	yes	usable_with_noise	
chunk_010:p0086	86	1413	yes	usable_with_noise	
chunk_010:p0087	87	1345	yes	usable_with_noise	
chunk_010:p0088	88	1410	yes	usable_with_noise	
chunk_010:p0089	89	1410	yes	usable_with_noise	
chunk_010:p0090	90	1402	yes	usable_with_noise	
chunk_010:p0091	91	1371	yes	usable_with_noise	
chunk_010:p0092	92	1373	yes	usable_with_noise	
chunk_010:p0093	93	1449	yes	usable_with_noise	
chunk_010:p0094	94	1431	yes	usable_with_noise	
chunk_010:p0095	95	1542	yes	usable_with_noise	
chunk_010:p0096	96	1373	yes	usable_with_noise	
chunk_010:p0097	97	1413	yes	usable_with_noise	
chunk_010:p0098	98	1299	yes	usable_with_noise	
chunk_010:p0099	99	1345	yes	usable_with_noise	
chunk_010:p0100	100	621	yes	usable_with_noise	
chunk_010:p0101	101	1887	yes	usable_with_noise	
chunk_010:p0102	102	710	yes	high_noise	Conspicuous mixed-script / generative-looking hallucination in baseline OCR; visible manuscript text is substantially more coherent than OCR. Retrieval only; close transcription required before quotation.
chunk_010:p0103	103	2281	yes	usable_with_noise	
chunk_010:p0104	104	1467	yes	usable_with_noise	
chunk_010:p0105	105	1383	yes	usable_with_noise	
chunk_010:p0106	106	1421	yes	usable_with_noise	
chunk_010:p0107	107	1537	yes	usable_with_noise	
chunk_010:p0108	108	1513	yes	usable_with_noise	
chunk_010:p0109	109	1472	yes	usable_with_noise	
chunk_010:p0110	110	1480	yes	usable_with_noise	
chunk_010:p0111	111	1693	yes	usable_with_noise	
chunk_010:p0112	112	1722	yes	usable_with_noise	
chunk_010:p0113	113	1558	yes	usable_with_noise	
chunk_010:p0114	114	1590	yes	usable_with_noise	
chunk_010:p0115	115	1502	yes	usable_with_noise	
chunk_010:p0116	116	1630	yes	usable_with_noise	
chunk_010:p0117	117	1580	yes	usable_with_noise	
chunk_010:p0118	118	1480	yes	usable_with_noise	
chunk_010:p0119	119	1534	yes	usable_with_noise	
chunk_010:p0120	120	1507	yes	usable_with_noise	
chunk_010:p0121	121	1498	yes	usable_with_noise	
chunk_010:p0122	122	1406	yes	usable_with_noise	
chunk_010:p0123	123	1430	yes	usable_with_noise	
chunk_010:p0124	124	325	yes	usable_with_noise	
chunk_010:p0125	125	1542	yes	usable_with_noise	
chunk_010:p0126	126	1383	yes	usable_with_noise	
chunk_010:p0127	127	1410	yes	usable_with_noise	
chunk_010:p0128	128	1426	yes	high_noise	Conspicuous mixed-script / generative-looking hallucination in baseline OCR; visible manuscript text is substantially more coherent than OCR. Retrieval only; close transcription required before quotation.
chunk_010:p0129	129	1385	yes	usable_with_noise	
chunk_010:p0130	130	1462	yes	usable_with_noise	
chunk_010:p0131	131	1750	yes	usable_with_noise	
chunk_010:p0132	132	1381	yes	usable_with_noise	
chunk_010:p0133	133	1369	yes	usable_with_noise	
chunk_010:p0134	134	1411	yes	usable_with_noise	
chunk_010:p0135	135	1538	yes	usable_with_noise	
chunk_010:p0136	136	1744	yes	usable_with_noise	
chunk_010:p0137	137	1535	yes	usable_with_noise	
chunk_010:p0138	138	1467	yes	usable_with_noise	
chunk_010:p0139	139	1513	yes	usable_with_noise	
chunk_010:p0140	140	1565	yes	usable_with_noise	
chunk_010:p0141	141	1513	yes	usable_with_noise	
chunk_010:p0142	142	1463	yes	usable_with_noise	
chunk_010:p0143	143	1654	yes	usable_with_noise	
chunk_010:p0144	144	1562	yes	usable_with_noise	
chunk_010:p0145	145	1473	yes	usable_with_noise	
chunk_010:p0146	146	1502	yes	usable_with_noise	
chunk_010:p0147	147	1452	yes	usable_with_noise	
chunk_010:p0148	148	1677	yes	usable_with_noise	
chunk_010:p0149	149	948	yes	usable_with_noise	
chunk_010:p0150	150	0	no	blank_no_substantive_text	Visually blank / no substantive text.
chunk_010:p0151	151	0	no	blank_no_substantive_text	Visually blank / no substantive text.
chunk_010:p0152	152	0	yes	false_empty_ocr_recovered	Baseline empty; visible envelope + two handwritten slips. Anchors: Fred. Hendrik; 1633-1637; 1905. Exact transcription requires close reading.
chunk_010:p0153	153	28	yes	high_noise	Baseline "2020 THETROO DAOMO ROBLOX UK" is unrelated to the visible short handwritten slip; visual recovery: "de naamverwisseling."
