pdf_page,ocr_page_id,state,archival_unit,notes
57,chunk_002:p0057,text_checked,Paris_1930_framing_Haskins,
58,chunk_002:p0058,text_checked,Paris_1930_framing_Haskins,
59,chunk_002:p0059,text_checked,Paris_1930_framing_Haskins,
60,chunk_002:p0060,text_checked,Paris_1930_framing_Haskins,
61,chunk_002:p0061,text_checked,Paris_1930_framing_Haskins,
62,chunk_002:p0062,text_checked,Paris_1930_framing_Haskins,
63,chunk_002:p0063,text_checked,Paris_1930_framing_Haskins,
64,chunk_002:p0064,text_checked,Paris_1930_framing_Haskins,
65,chunk_002:p0065,text_checked,Paris_1930_framing_Haskins,
66,chunk_002:p0066,text_checked,Paris_1930_framing_Haskins,
67,chunk_002:p0067,text_checked,Paris_1930_framing_Haskins,
68,chunk_002:p0068,text_checked,Paris_1930_framing_Haskins,
69,chunk_002:p0069,text_checked,Paris_1930_framing_Haskins,
70,chunk_002:p0070,text_checked,Paris_1930_Abelard,
71,chunk_002:p0071,text_checked,Paris_1930_Abelard,
72,chunk_002:p0072,text_checked,Paris_1930_Abelard,
73,chunk_002:p0073,text_checked,Paris_1930_Abelard,
74,chunk_002:p0074,text_checked,Paris_1930_Abelard,
75,chunk_002:p0075,text_checked,Paris_1930_Abelard,
76,chunk_002:p0076,text_checked,Paris_1930_Abelard,
77,chunk_002:p0077,text_checked,Paris_1930_Abelard,
78,chunk_002:p0078,text_checked,Paris_1930_Abelard,
79,chunk_002:p0079,text_checked,Paris_1930_Abelard,
80,chunk_002:p0080,text_checked,Paris_1930_Abelard,
81,chunk_002:p0081,text_checked,Paris_1930_Abelard,
82,chunk_002:p0082,text_checked,Paris_1930_Abelard,
83,chunk_002:p0083,text_checked,Paris_1930_Abelard,
84,chunk_002:p0084,text_checked,Paris_1930_Abelard,
85,chunk_002:p0085,text_checked,Paris_1930_Abelard,
86,chunk_002:p0086,text_checked,Paris_1930_Abelard,
87,chunk_002:p0087,text_checked,Paris_1930_Abelard,
88,chunk_002:p0088,text_checked,Paris_1930_Abelard,
89,chunk_002:p0089,text_checked,Paris_1930_Abelard,
90,chunk_002:p0090,text_checked,Paris_1930_Abelard,
91,chunk_002:p0091,text_checked,Paris_1930_Abelard,
92,chunk_002:p0092,text_checked,Paris_1930_Abelard,
93,chunk_002:p0093,text_checked,Paris_1930_Abelard,
94,chunk_002:p0094,text_checked,Paris_1930_Abelard,
95,chunk_002:p0095,text_checked,Paris_1930_Abelard,
96,chunk_002:p0096,final_checked,Paris_1930_blank,
97,chunk_002:p0097,text_checked,Paris_1930_Jean_de_Salisbury,
98,chunk_002:p0098,text_checked,Paris_1930_Jean_de_Salisbury,severe_OCR_failure; image authoritative
99,chunk_002:p0099,text_checked,Paris_1930_Jean_de_Salisbury,
100,chunk_002:p0100,text_checked,Paris_1930_Jean_de_Salisbury,
101,chunk_002:p0101,text_checked,Paris_1930_Jean_de_Salisbury,
102,chunk_002:p0102,text_checked,Paris_1930_Jean_de_Salisbury,
103,chunk_002:p0103,text_checked,Paris_1930_Jean_de_Salisbury,
104,chunk_002:p0104,text_checked,Paris_1930_Jean_de_Salisbury,
105,chunk_002:p0105,text_checked,Paris_1930_Jean_de_Salisbury,
106,chunk_002:p0106,text_checked,Paris_1930_Jean_de_Salisbury,
107,chunk_002:p0107,text_checked,Paris_1930_Jean_de_Salisbury,
108,chunk_002:p0108,text_checked,Paris_1930_Jean_de_Salisbury,
109,chunk_002:p0109,text_checked,Paris_1930_Jean_de_Salisbury,
110,chunk_002:p0110,text_checked,Paris_1930_Jean_de_Salisbury,
111,chunk_002:p0111,text_checked,Paris_1930_Jean_de_Salisbury,
112,chunk_002:p0112,text_checked,Paris_1930_Jean_de_Salisbury,
113,chunk_002:p0113,text_checked,Paris_1930_Jean_de_Salisbury,
114,chunk_002:p0114,text_checked,Paris_1930_Jean_de_Salisbury,
115,chunk_002:p0115,text_checked,Paris_1930_Jean_de_Salisbury,
116,chunk_002:p0116,text_checked,Paris_1930_Jean_de_Salisbury,
117,chunk_002:p0117,text_checked,Paris_1930_Jean_de_Salisbury,
118,chunk_002:p0118,text_checked,Paris_1930_Jean_de_Salisbury,
119,chunk_002:p0119,text_checked,Paris_1930_Jean_de_Salisbury,
120,chunk_002:p0120,text_checked,Paris_1930_Jean_de_Salisbury,
121,chunk_002:p0121,text_checked,Paris_1930_Jean_de_Salisbury,
122,chunk_002:p0122,text_checked,Paris_1930_Jean_de_Salisbury,
123,chunk_002:p0123,text_checked,Paris_1930_Jean_de_Salisbury,
124,chunk_002:p0124,text_checked,Paris_1930_Jean_de_Salisbury,
125,chunk_002:p0125,text_checked,Paris_1930_Jean_de_Salisbury,
126,chunk_002:p0126,text_checked,Paris_1930_Jean_de_Salisbury,
127,chunk_002:p0127,text_checked,Paris_1930_Jean_de_Salisbury,
128,chunk_002:p0128,text_checked,Paris_1930_Jean_de_Salisbury,
129,chunk_002:p0129,text_checked,Paris_1930_Jean_de_Salisbury,
130,chunk_002:p0130,text_checked,Paris_1930_Jean_de_Salisbury,
131,chunk_002:p0131,text_checked,Paris_1930_Jean_de_Salisbury,
132,chunk_002:p0132,text_checked,Paris_1930_Jean_de_Salisbury,
133,chunk_002:p0133,text_checked,Paris_1930_Jean_de_Salisbury,
134,chunk_002:p0134,text_checked,Paris_1930_Jean_de_Salisbury,
135,chunk_002:p0135,text_checked,Paris_1930_Jean_de_Salisbury,
136,chunk_002:p0136,text_checked,Paris_1930_Jean_de_Salisbury,
137,chunk_002:p0137,final_checked,Paris_1930_blank,
138,chunk_002:p0138,text_checked,Alain_source_apparatus,
139,chunk_002:p0139,text_checked,Alain_source_apparatus,
140,chunk_002:p0140,text_checked,Alain_source_apparatus,
141,chunk_002:p0141,text_checked,Alain_source_apparatus,
142,chunk_002:p0142,text_checked,Alain_source_apparatus,
143,chunk_002:p0143,text_checked,Alain_source_apparatus,
144,chunk_002:p0144,text_checked,Paris_1930_Alain_de_Lille,
145,chunk_002:p0145,text_checked,Paris_1930_Alain_de_Lille,
146,chunk_002:p0146,text_checked,Paris_1930_Alain_de_Lille,
147,chunk_002:p0147,text_checked,Paris_1930_Alain_de_Lille,
148,chunk_002:p0148,text_checked,Paris_1930_Alain_de_Lille,
149,chunk_002:p0149,text_checked,Paris_1930_Alain_de_Lille,
150,chunk_002:p0150,text_checked,Paris_1930_Alain_de_Lille,
151,chunk_002:p0151,text_checked,Paris_1930_Alain_de_Lille,
152,chunk_002:p0152,text_checked,Paris_1930_Alain_de_Lille,
153,chunk_002:p0153,text_checked,Paris_1930_Alain_de_Lille,
154,chunk_002:p0154,text_checked,Paris_1930_Alain_de_Lille,
155,chunk_002:p0155,text_checked,Paris_1930_Alain_de_Lille,
156,chunk_002:p0156,text_checked,Paris_1930_Alain_de_Lille,
157,chunk_002:p0157,text_checked,Paris_1930_Alain_de_Lille,
158,chunk_002:p0158,text_checked,Paris_1930_Alain_de_Lille,
159,chunk_002:p0159,text_checked,Paris_1930_Alain_de_Lille,
160,chunk_002:p0160,text_checked,Paris_1930_Alain_de_Lille,
161,chunk_002:p0161,text_checked,Paris_1930_Alain_de_Lille,
162,chunk_002:p0162,text_checked,Paris_1930_Alain_de_Lille,
163,chunk_002:p0163,text_checked,Paris_1930_Alain_de_Lille,
164,chunk_002:p0164,text_checked,Paris_1930_Alain_de_Lille,
165,chunk_002:p0165,text_checked,Paris_1930_Alain_de_Lille,
166,chunk_002:p0166,text_checked,Paris_1930_Alain_de_Lille,
167,chunk_002:p0167,text_checked,Paris_1930_Alain_de_Lille,
168,chunk_002:p0168,text_checked,Paris_1930_Alain_de_Lille,
169,chunk_002:p0169,text_checked,Paris_1930_Alain_de_Lille,
170,chunk_002:p0170,text_checked,Paris_1930_Alain_de_Lille,
171,chunk_002:p0171,text_checked,Paris_1930_Alain_de_Lille,
172,chunk_002:p0172,text_checked,Paris_1930_Alain_de_Lille,
173,chunk_002:p0173,text_checked,Paris_1930_Alain_de_Lille,
174,chunk_002:p0174,final_checked,Paris_1930_blank_end,
175,chunk_002:p0175,final_checked,Paris_1930_blank_end,
176,chunk_002:p0176,text_checked,Abelard_Bernard_Berengar_cards,
177,chunk_002:p0177,text_checked,Abelard_Bernard_Berengar_cards,
178,chunk_002:p0178,text_checked,Abelard_Bernard_Berengar_cards,
179,chunk_002:p0179,text_checked,Abelard_Bernard_Berengar_cards,
180,chunk_002:p0180,text_checked,Abelard_Bernard_Berengar_cards,
181,chunk_002:p0181,text_checked,Abelard_Bernard_Berengar_cards,
182,chunk_002:p0182,text_checked,Abelard_Bernard_Berengar_cards,
183,chunk_002:p0183,text_checked,Abelard_Bernard_Berengar_cards,
