page_id	status	note
p0065	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0071	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0073	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0076	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0080	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0081	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0085	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0086	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0090	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0093	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0094	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0095	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0096	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0103	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0113	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0139	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0160	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0164	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0167	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0173	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0174	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0177	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0178	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0181	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0184	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0185	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0191	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0198	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0202	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0207	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0210	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0215	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0216	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0217	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0218	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
p0230	UNRESOLVED_SCAN_UNAVAILABLE	Baseline OCR empty; scan required to distinguish blank from false negative.
