page_id	baseline_chars	structural_class	provisional_packet	visual_note
chunk_024:p0025	4106	printed	printed_Hendrik_Kern_1899	printed continuation beyond chunk_023
chunk_024:p0026	3939	printed	printed_Hendrik_Kern_1899	printed continuation beyond chunk_023
chunk_024:p0027	4245	printed	printed_Hendrik_Kern_1899	printed continuation beyond chunk_023
chunk_024:p0028	4138	printed	printed_Hendrik_Kern_1899	printed continuation beyond chunk_023
chunk_024:p0029	4009	printed	printed_Hendrik_Kern_1899	printed continuation beyond chunk_023
chunk_024:p0030	4154	printed	printed_Hendrik_Kern_1899	printed continuation beyond chunk_023
chunk_024:p0031	4217	printed	printed_Hendrik_Kern_1899	printed continuation beyond chunk_023
chunk_024:p0032	3912	printed	printed_Hendrik_Kern_1899	printed continuation beyond chunk_023
chunk_024:p0033	720	printed	printed_Hendrik_Kern_1899	closing printed bibliography/publication list
chunk_024:p0034	0	blank/no-substantive	divider_or_endpaper	genuine blank/endpaper/ruled sheet
chunk_024:p0035	1607	handwritten-notes	Kern_bibliographical_philological_notes	handwritten bibliography/philology/publication notes; exact internal boundaries under review
chunk_024:p0036	3747	handwritten-notes	Kern_bibliographical_philological_notes	handwritten bibliography/philology/publication notes; exact internal boundaries under review
chunk_024:p0037	3897	handwritten-notes	Kern_bibliographical_philological_notes	handwritten bibliography/philology/publication notes; exact internal boundaries under review
chunk_024:p0038	2877	handwritten-notes	Kern_bibliographical_philological_notes	handwritten bibliography/philology/publication notes; exact internal boundaries under review
chunk_024:p0039	3012	handwritten-notes	Kern_bibliographical_philological_notes	handwritten bibliography/philology/publication notes; exact internal boundaries under review
chunk_024:p0040	3238	handwritten-notes	Kern_bibliographical_philological_notes	handwritten bibliography/philology/publication notes; exact internal boundaries under review
chunk_024:p0041	2288	handwritten-notes	Kern_bibliographical_philological_notes	handwritten bibliography/philology/publication notes; exact internal boundaries under review
chunk_024:p0042	4192	handwritten-notes	Kern_bibliographical_philological_notes	handwritten bibliography/philology/publication notes; exact internal boundaries under review
chunk_024:p0043	3059	handwritten-notes	Kern_bibliographical_philological_notes	handwritten bibliography/philology/publication notes; exact internal boundaries under review
chunk_024:p0044	3846	handwritten-notes	Kern_bibliographical_philological_notes	handwritten bibliography/philology/publication notes; exact internal boundaries under review
chunk_024:p0045	3772	handwritten-notes	Kern_bibliographical_philological_notes	handwritten bibliography/philology/publication notes; exact internal boundaries under review
chunk_024:p0046	1617	handwritten-notes	Kern_bibliographical_philological_notes	handwritten bibliography/philology/publication notes; exact internal boundaries under review
chunk_024:p0047	3234	handwritten-notes	Kern_bibliographical_philological_notes	handwritten bibliography/philology/publication notes; exact internal boundaries under review
chunk_024:p0048	2628	handwritten-notes	Kern_bibliographical_philological_notes	handwritten bibliography/philology/publication notes; exact internal boundaries under review
chunk_024:p0049	2678	handwritten-notes	anatomy_medicine	anatomy/medical notes
chunk_024:p0050	5367	handwritten-notes	anatomy_medicine	anatomy/medical notes
chunk_024:p0051	5224	handwritten-notes	anatomy_medicine	anatomy/medical notes
chunk_024:p0052	2924	handwritten-notes	anatomy_medicine	anatomy/medical notes
chunk_024:p0053	3919	handwritten-notes	anatomy_medicine	anatomy/medical notes
chunk_024:p0054	0	blank/no-substantive	divider_or_endpaper	genuine blank/endpaper/ruled sheet
chunk_024:p0055	1869	handwritten-notes	isolated_legend_note	isolated legend/folklore note between blank dividers
chunk_024:p0056	0	blank/no-substantive	divider_or_endpaper	genuine blank/endpaper/ruled sheet
chunk_024:p0057	1836	handwritten-notes	Indian_medicine_methodological_intro	Indian culture/medicine methodological notes leading into Suśruta
chunk_024:p0058	4648	handwritten-notes	Indian_medicine_methodological_intro	Indian culture/medicine methodological notes leading into Suśruta
chunk_024:p0059	2564	handwritten-notes	Indian_medicine_methodological_intro	Indian culture/medicine methodological notes leading into Suśruta
chunk_024:p0060	2961	handwritten-notes	Indian_medicine_methodological_intro	Indian culture/medicine methodological notes leading into Suśruta
chunk_024:p0061	1092	handwritten-notes	Indian_medicine_methodological_intro	Indian culture/medicine methodological notes leading into Suśruta
chunk_024:p0062	624	handwritten-notes	Indian_medicine_methodological_intro	Indian culture/medicine methodological notes leading into Suśruta
chunk_024:p0063	1448	handwritten-notes	Ayurveda_Susruta	Suśruta/Ayurveda working notes; Sanskrit/romanized material
chunk_024:p0064	3504	handwritten-notes	Ayurveda_Susruta	Suśruta/Ayurveda working notes; Sanskrit/romanized material
chunk_024:p0065	2727	handwritten-notes	Ayurveda_Susruta	Suśruta/Ayurveda working notes; Sanskrit/romanized material
chunk_024:p0066	3161	handwritten-notes	Ayurveda_Susruta	Suśruta/Ayurveda working notes; Sanskrit/romanized material
chunk_024:p0067	3341	handwritten-notes	Ayurveda_Susruta	Suśruta/Ayurveda working notes; Sanskrit/romanized material
chunk_024:p0068	3294	handwritten-notes	Ayurveda_Susruta	Suśruta/Ayurveda working notes; Sanskrit/romanized material
chunk_024:p0069	2881	handwritten-notes	Ayurveda_Susruta	Suśruta/Ayurveda working notes; Sanskrit/romanized material
chunk_024:p0070	3389	handwritten-notes	Ayurveda_Susruta	Suśruta/Ayurveda working notes; Sanskrit/romanized material
chunk_024:p0071	3366	handwritten-notes	Ayurveda_Susruta	Suśruta/Ayurveda working notes; Sanskrit/romanized material
chunk_024:p0072	2181	handwritten-notes	Ayurveda_Susruta	Suśruta/Ayurveda working notes; Sanskrit/romanized material
chunk_024:p0073	2768	handwritten-notes	Ayurveda_Susruta	Suśruta/Ayurveda working notes; Sanskrit/romanized material
chunk_024:p0074	2195	handwritten-notes	Ayurveda_Susruta	Suśruta/Ayurveda working notes; Sanskrit/romanized material
chunk_024:p0075	6551	handwritten-notes	Ayurveda_Susruta	Suśruta/Ayurveda working notes; Sanskrit/romanized material
chunk_024:p0076	1704	handwritten-notes	Ayurveda_Susruta	Suśruta/Ayurveda working notes; Sanskrit/romanized material
chunk_024:p0077	3469	handwritten-notes	Ayurveda_Susruta	Suśruta/Ayurveda working notes; Sanskrit/romanized material
chunk_024:p0078	3029	handwritten-notes	Ayurveda_Susruta	Suśruta/Ayurveda working notes; Sanskrit/romanized material
chunk_024:p0079	3426	handwritten-notes	Ayurveda_Susruta	Suśruta/Ayurveda working notes; Sanskrit/romanized material
chunk_024:p0080	3037	handwritten-notes	Ayurveda_Susruta	Suśruta/Ayurveda working notes; Sanskrit/romanized material
chunk_024:p0081	3468	handwritten-notes	Ayurveda_Susruta	Suśruta/Ayurveda working notes; Sanskrit/romanized material
chunk_024:p0082	7549	handwritten-notes	Ayurveda_Susruta	Suśruta/Ayurveda working notes; Sanskrit/romanized material
chunk_024:p0083	2486	handwritten-notes	Ayurveda_Susruta	Suśruta/Ayurveda working notes; Sanskrit/romanized material
chunk_024:p0084	2872	handwritten-notes	Ayurveda_Susruta	Suśruta/Ayurveda working notes; Sanskrit/romanized material
chunk_024:p0085	289	handwritten-notes	Ayurveda_Susruta	Suśruta/Ayurveda working notes; Sanskrit/romanized material
