page	pdf	verification	json_action	note
p0155	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0156	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0157	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0158	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0159	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0160	chunk_068__p0121-0160.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0161	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0162	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0163	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0164	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0165	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0166	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0167	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0168	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0169	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0170	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0171	chunk_068__p0161-0200.pdf	checked_against_original_pdf	replace_block	corrected JSON and audit ledger updated
p0172	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0173	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0174	chunk_068__p0161-0200.pdf	checked_against_original_pdf	replace_block	corrected JSON and audit ledger updated
p0175	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0176	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0177	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0178	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0179	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0180	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0181	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0182	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0183	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0184	chunk_068__p0161-0200.pdf	checked_against_original_pdf	replace_block	corrected JSON and audit ledger updated
p0185	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0186	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0187	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0188	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0189	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0190	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0191	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0192	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0193	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0194	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0195	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0196	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0197	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0198	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
p0199	chunk_068__p0161-0200.pdf	checked_against_original_pdf	drop_block	corrected JSON and audit ledger updated
p0200	chunk_068__p0161-0200.pdf	checked_against_original_pdf	no_high_confidence_change	raw JSON retained after visual comparison
