page_id	ocr_signal	class	segment	flags
p0042	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0043	not_crosschecked_in_this_round	blank-no-substantive-visual	P1_p0001-p0080	visual_checked;visual_blank_or_no_substantive
p0044	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions;envelope_partner
p0045	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0046	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0047	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0048	not_crosschecked_in_this_round	blank-no-substantive-visual	P1_p0001-p0080	visual_checked;visual_blank_or_no_substantive
p0049	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions;envelope_partner
p0050	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0051	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0052	not_crosschecked_in_this_round	blank-no-substantive-visual	P1_p0001-p0080	visual_checked;visual_blank_or_no_substantive
p0053	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions;envelope_partner
p0054	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0055	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0056	not_crosschecked_in_this_round	blank-no-substantive-visual	P1_p0001-p0080	visual_checked;visual_blank_or_no_substantive
p0057	not_crosschecked_in_this_round	short-text-or-nontext	P1_p0001-p0080	visual_checked;envelope_or_backside
p0058	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions;envelope_partner
p0059	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0060	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0061	not_crosschecked_in_this_round	blank-no-substantive-visual	P1_p0001-p0080	visual_checked;visual_blank_or_no_substantive
p0062	not_crosschecked_in_this_round	short-text-or-nontext	P1_p0001-p0080	visual_checked;envelope_or_backside
p0063	not_crosschecked_in_this_round	short-text-or-nontext	P1_p0001-p0080	visual_checked;envelope_or_backside
p0064	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions;envelope_partner
p0065	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0066	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0067	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0068	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0069	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0070	not_crosschecked_in_this_round	usable-with-noise-visual	P1_p0001-p0080	visual_checked;full_document_sheet
p0071	not_crosschecked_in_this_round	usable-with-noise-visual	P1_p0001-p0080	visual_checked;full_document_sheet
p0072	not_crosschecked_in_this_round	blank-no-substantive-visual	P1_p0001-p0080	visual_checked;visual_blank_or_no_substantive
p0073	not_crosschecked_in_this_round	short-text-or-nontext	P1_p0001-p0080	visual_checked;envelope_or_backside
p0074	not_crosschecked_in_this_round	short-text-or-nontext	P1_p0001-p0080	visual_checked;envelope_or_backside
p0075	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions;envelope_partner
p0076	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0077	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0078	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0079	not_crosschecked_in_this_round	high-noise-layout-risk	P1_p0001-p0080	visual_checked;mounted_slip_layout;reading_order_risk;small_source_regions
p0080	not_crosschecked_in_this_round	blank-no-substantive-visual	P1_p0001-p0080	visual_checked;visual_blank_or_no_substantive
