global_page,page_id,chunk_id,page_in_chunk,chars,nonempty,quality_flags,inventory_refs,dates_1920_1935,years_1920_1935,entities_exact,fuzzy_candidates,project_terms,doc_signals,review_tier,review_reasons,layer_warning,manual_note
2325,chunk_014:p0195,014,195,914,True,,,,,,,musicology,,C,research_signal,False,
2372,chunk_014:p0242,014,242,791,True,html_scaffolding_removed,,,1928,,,social_science,,C,research_signal,False,
2375,chunk_014:p0245,014,245,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
2382,chunk_015:p0001,015,1,60,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
2389,chunk_015:p0008,015,8,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
2393,chunk_015:p0012,015,12,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
2433,chunk_015:p0052,015,52,1921,True,html_scaffolding_removed,,,,,,social_science,,C,research_signal,False,
2455,chunk_015:p0074,015,74,11337,True,,,,,Van Erp,,,,C,research_signal,False,
2797,chunk_017:p0050,017,50,2393,True,,,,,,,musicology,,C,research_signal,False,
2818,chunk_017:p0071,017,71,1915,True,html_scaffolding_removed,,,,,,musicology,,C,research_signal,False,
2823,chunk_017:p0076,017,76,1336,True,,,,,,,musicology,,C,research_signal,False,
2825,chunk_017:p0078,017,78,2378,True,,,,,,,musicology,,C,research_signal,False,
2826,chunk_017:p0079,017,79,1362,True,,,,,,,musicology,,C,research_signal,False,
2828,chunk_017:p0081,017,81,1383,True,,,,,,,musicology,,C,research_signal,False,
2830,chunk_017:p0083,017,83,1754,True,,,,,,,musicology,,C,research_signal,False,
2831,chunk_017:p0084,017,84,2009,True,,,,,,,musicology,,C,research_signal,False,
2832,chunk_017:p0085,017,85,1396,True,,,,,,,musicology,,C,research_signal,False,
2833,chunk_017:p0086,017,86,1409,True,,,,,,,musicology,,C,research_signal,False,
2837,chunk_017:p0090,017,90,1370,True,,,,,,,musicology,,C,research_signal,False,
2857,chunk_017:p0110,017,110,1505,True,,,,,,,musicology,,C,research_signal,False,
2952,chunk_017:p0205,017,205,1064,True,,,,1928;1929,Huizinga,,,,C,research_signal,False,
2953,chunk_017:p0206,017,206,565,True,html_scaffolding_removed,,,1929,Huizinga,,,,C,research_signal,False,
3060,chunk_018:p0085,018,85,1548,True,,,,,Rockefeller,,,,C,research_signal,False,
3114,chunk_018:p0139,018,139,1658,True,,,,,Rockefeller,,,,C,research_signal,False,
3118,chunk_018:p0143,018,143,1500,True,html_scaffolding_removed,,,,,,musicology,,C,research_signal,False,
3125,chunk_018:p0150,018,150,3463,True,html_scaffolding_removed,,,,,,social_science,,C,research_signal,False,
3156,chunk_018:p0181,018,181,2721,True,,,,,,,musicology,,C,research_signal,False,
3204,chunk_018:p0229,018,229,3387,True,ocr_repeat_run_cleaned_v3,,,,,,social_science,,C,research_signal,False,
3253,chunk_019:p0031,019,31,2445,True,html_scaffolding_removed,,,,Huizinga,,memorandum,report_or_memorandum,C,research_signal,False,
3285,chunk_019:p0063,019,63,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
3394,chunk_020:p0005,020,5,1728,True,,,,,,,anthropology,,C,research_signal,False,
3401,chunk_020:p0012,020,12,1059,True,,,,,,,anthropology,,C,research_signal,False,
3415,chunk_020:p0026,020,26,951,True,,,,,,,anthropology,,C,research_signal,False,
3513,chunk_020:p0124,020,124,1222,True,,,,,,,anthropology,,C,research_signal,False,
3612,chunk_021:p0017,021,17,1144,True,,,,,,,fieldwork,,C,research_signal,False,
3639,chunk_021:p0044,021,44,2041,True,,,,,,,memorandum,report_or_memorandum,C,research_signal,False,
3648,chunk_021:p0053,021,53,1697,True,,,,,,,social_science,,C,research_signal,False,
3677,chunk_021:p0082,021,82,3332,True,ocr_repetition_cleaned,,,,,,social_science,,C,research_signal,False,
3719,chunk_021:p0124,021,124,1288,True,,,,,,Van Eerde|van kerde|s1i0d0,,,C,research_signal,False,
3727,chunk_021:p0132,021,132,1398,True,,,,,,,memorandum,report_or_memorandum,C,research_signal,False,
3890,chunk_022:p0060,022,60,636,True,,,,,,,musicology,,C,research_signal,False,
3970,chunk_022:p0140,022,140,1234,True,,,,,,,musicology,,C,research_signal,False,
4134,chunk_023:p0054,023,54,2172,True,,,,,,,anthropology,,C,research_signal,False,
4211,chunk_023:p0131,023,131,774,True,,,,,Huizinga,,,,C,research_signal,False,
4232,chunk_023:p0152,023,152,4175,True,,,,,,,anthropology,,C,research_signal,False,
4256,chunk_023:p0176,023,176,155,True,,,,,Huizinga,,,,C,research_signal,False,
4265,chunk_023:p0185,023,185,4209,True,,,,,,,musicology,,C,research_signal,False,
4277,chunk_024:p0010,024,10,4213,True,,,,,,,musicology,,C,research_signal,False,
4286,chunk_024:p0019,024,19,4107,True,,,,,,,musicology,,C,research_signal,False,
4292,chunk_024:p0025,024,25,4082,True,,,,,,,anthropology;institution;colonial,,C,research_signal,False,
4294,chunk_024:p0027,024,27,3934,True,,,,,,,musicology,,C,research_signal,False,
4295,chunk_024:p0028,024,28,3701,True,,,,,,,anthropology;institution,,C,research_signal,False,
4299,chunk_024:p0032,024,32,3558,True,,,,,,,anthropology,,C,research_signal,False,
4308,chunk_024:p0041,024,41,2288,True,,,,,,,anthropology,,C,research_signal,False,
4809,chunk_026:p0211,026,211,3827,True,ocr_repetition_cleaned,,,,,,social_science,,C,research_signal,False,
4841,chunk_026:p0243,026,243,2927,True,,,,,Nieuwenhuis,,musicology,,C,research_signal,False,
4848,chunk_026:p0250,026,250,2746,True,,,,,,,anthropology,,C,research_signal,False,
4852,chunk_026:p0254,026,254,637,True,,,2 Januari 1917,,Huizinga;Van Vollenhoven,,,,C,research_signal,False,
4853,chunk_027:p0001,027,1,511,True,,,,,,Van Vollenhoven|aan vollenhoven|s1i0d0,,correspondence,C,research_signal,False,
4859,chunk_027:p0007,027,7,1730,True,,,10 Januari 1917,,Huizinga;Van Vollenhoven,,,addressed_to_huizinga;report_or_memorandum,C,research_signal,False,
4860,chunk_027:p0008,027,8,1200,True,,,,,Van Vollenhoven,,,,C,research_signal,False,
4862,chunk_027:p0010,027,10,5206,True,,,,,Huizinga;Van Vollenhoven,,,,C,research_signal,False,
4866,chunk_027:p0014,027,14,5129,True,,,,,Huizinga;Van Vollenhoven,,institution,,C,research_signal,False,
4873,chunk_027:p0021,027,21,1728,True,,,,1927,Huizinga,,,,C,research_signal,False,
4876,chunk_027:p0024,027,24,3730,True,,,29 Juli 1926,1926,Van Vollenhoven,,,,C,research_signal,False,
4877,chunk_027:p0025,027,25,2791,True,,,29 Juli 1926,1926,Huizinga;Van Vollenhoven,,,,C,research_signal,False,
4878,chunk_027:p0026,027,26,3034,True,,,5 Januari 1927;29 Juli 1926;29 Juli 1926,1926;1927,Van Vollenhoven,,,,C,research_signal,False,
4882,chunk_027:p0030,027,30,2207,True,,,,1932;1933,Huizinga,,,,C,research_signal,False,
4898,chunk_027:p0046,027,46,1256,True,html_scaffolding_removed,,23 Juni 1931,1931,George Welwood Murray;John D. Rockefeller Jr.;Laura Spelman Rockefeller Memorial;Raymond B. Fosdick;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text;rockefeller_trustees,A,rockefeller_1931;possible_letterhead_reuse_or_ocr_layering;manual_review,True,Rockefeller Memorial/trustees + 23 Juni 1931; image review required because OCR layers unrelated material on the same page.
4900,chunk_027:p0048,027,48,219,True,html_scaffolding_removed,,,1928,George Welwood Murray;John D. Rockefeller Jr.;Laura Spelman Rockefeller Memorial;Raymond B. Fosdick;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text;rockefeller_trustees,B,research_signal;manual_review,False,Rockefeller Memorial trustee/letterhead fragment; reads 1928.
4943,chunk_027:p0091,027,91,492,True,,,9 Februari 1940,,Huizinga,,,addressed_to_huizinga,C,research_signal,False,
4954,chunk_027:p0102,027,102,13742,True,,,,,,,social_science,,C,research_signal,False,
5009,chunk_027:p0157,027,157,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
5014,chunk_027:p0162,027,162,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
5022,chunk_027:p0170,027,170,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
5136,chunk_028:p0061,028,61,32,True,,,,,Huizinga,,,,C,research_signal,False,
5229,chunk_028:p0154,028,154,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
5247,chunk_028:p0172,028,172,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
5251,chunk_028:p0176,028,176,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
5254,chunk_028:p0179,028,179,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
5256,chunk_028:p0181,028,181,310,True,html_scaffolding_removed,,,,,,musicology,,C,research_signal,False,
5260,chunk_028:p0185,028,185,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
5263,chunk_028:p0188,028,188,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
5507,chunk_029:p0188,029,188,1439,True,html_scaffolding_removed,,,,,,musicology,,C,research_signal,False,
5651,chunk_030:p0092,030,92,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
5673,chunk_030:p0114,030,114,2151,True,,,,,,,social_science,,C,research_signal,False,
5677,chunk_030:p0118,030,118,582,True,html_scaffolding_removed,,,,,,memorandum,report_or_memorandum,C,research_signal,False,
5745,chunk_030:p0186,030,186,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
5858,chunk_031:p0062,031,62,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
5862,chunk_031:p0066,031,66,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
5865,chunk_031:p0069,031,69,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
5870,chunk_031:p0074,031,74,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
5874,chunk_031:p0078,031,78,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
5887,chunk_031:p0091,031,91,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
5892,chunk_031:p0096,031,96,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
5912,chunk_031:p0116,031,116,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
5917,chunk_031:p0121,031,121,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
5931,chunk_031:p0135,031,135,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
5935,chunk_031:p0139,031,139,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
5941,chunk_031:p0145,031,145,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
5965,chunk_031:p0169,031,169,1796,True,,,,1922;1928,Huizinga,,,,C,research_signal,False,
5973,chunk_031:p0177,031,177,2357,True,html_scaffolding_removed,,,1935,Huizinga,,primitive,,C,research_signal,False,
5974,chunk_031:p0178,031,178,2781,True,,,,1931,Huizinga,,institution,,C,research_signal,False,
5975,chunk_031:p0179,031,179,2742,True,,,,,Huizinga,,,report_or_memorandum,C,research_signal,False,
5993,chunk_031:p0197,031,197,696,True,html_scaffolding_removed,,,,Huizinga,,,addressed_to_huizinga,C,research_signal,False,
5998,chunk_031:p0202,031,202,77,True,,,,,,,memorandum,report_or_memorandum,C,research_signal,False,
6004,chunk_031:p0208,031,208,1787,True,,,,,,,musicology,,C,research_signal,False,
6065,chunk_032:p0022,032,22,671,True,,,,,,,social_science;anthropology,,C,research_signal,False,
6218,chunk_032:p0175,032,175,56,True,html_scaffolding_removed,,,,Huizinga,,,,C,research_signal,False,
6276,chunk_032:p0233,032,233,1252,True,html_scaffolding_removed,,,,Huizinga,,,,C,research_signal,False,
6369,chunk_033:p0091,033,91,594,True,,,,,Huizinga,,,,C,research_signal,False,
6428,chunk_033:p0150,033,150,282,True,html_scaffolding_removed,,,,Huizinga,,,,C,research_signal,False,
6479,chunk_033:p0201,033,201,999,True,html_scaffolding_removed,,,,,,musicology,,C,research_signal,False,
6545,chunk_034:p0031,034,31,335,True,html_scaffolding_removed,,,,Van Vollenhoven,,,,C,research_signal,False,
6576,chunk_034:p0062,034,62,54,True,,,,,Huizinga,,,,C,research_signal,False,
6628,chunk_034:p0114,034,114,1694,True,,,,1920;1921,,,social_science,,C,research_signal,False,
6687,chunk_034:p0173,034,173,2465,True,,,,,,,social_science,,C,research_signal,False,
6789,chunk_035:p0029,035,29,229,True,html_scaffolding_removed,HUI-049-0-02-001;HUI-049-0-02-O01,,,Huizinga,,,archive_header,B,archive_unit_boundary,False,
6849,chunk_035:p0089,035,89,61,True,,,,,Laura Spelman Rockefeller Memorial;Rockefeller,,rockefeller_memorial,rockefeller_letterhead_or_text,C,research_signal,False,
6880,chunk_035:p0120,035,120,9065,True,,,,1920;1924;1925,Huizinga,,,correspondence,C,research_signal,False,
6884,chunk_035:p0124,035,124,4033,True,,,,1928;1930,Huizinga,,,,C,research_signal,False,
