page_id	ocr_signal	class	segment	flags
p0049	nonempty	short-text	S1_p0001-p0061	visual_checked;sparse_text_or_label;title_card_Trois_esprits_pregothiques
p0050	nonempty	usable-with-noise	S1_p0001-p0061	visual_checked;continuous_handwriting
p0051	nonempty	usable-with-noise	S1_p0001-p0061	visual_checked;continuous_handwriting
p0052	nonempty	usable-with-noise	S1_p0001-p0061	visual_checked;continuous_handwriting
p0053	empty	blank-no-substantive	S1_p0001-p0061	visual_checked;visual_blank_or_no_substantive;baseline_empty_verified_blank
p0054	nonempty	usable-with-noise	S1_p0001-p0061	visual_checked
p0055	nonempty	usable-with-noise	S1_p0001-p0061	visual_checked;continuous_handwriting
p0056	nonempty	usable-with-noise	S1_p0001-p0061	visual_checked;continuous_handwriting
p0057	nonempty	usable-with-noise	S1_p0001-p0061	visual_checked;continuous_handwriting
p0058	nonempty	usable-with-noise	S1_p0001-p0061	visual_checked;continuous_handwriting
p0059	nonempty	usable-with-noise	S1_p0001-p0061	visual_checked;continuous_handwriting
p0060	nonempty	usable-with-noise	S1_p0001-p0061	visual_checked;continuous_handwriting
p0061	nonempty	usable-with-noise	S1_p0001-p0061	visual_checked;continuous_handwriting
p0062	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0063	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0064	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0065	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0066	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0067	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0068	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0069	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0070	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0071	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0072	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0073	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0074	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0075	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0076	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0077	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0078	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0079	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0080	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0081	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0082	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0083	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0084	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0085	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0086	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting;scan_verified_Cet_element_ludique
p0087	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting;scan_verified_primitive_context
p0088	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0089	nonempty	high-noise	S2_p0062-p0122	visual_checked;continuous_handwriting;catastrophic_repeat_number_overgeneration
p0090	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting;scan_verified_Abelard_pregothique_context
p0091	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0092	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0093	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0094	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0095	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0096	empty	blank-no-substantive	S2_p0062-p0122	visual_checked;visual_blank_or_no_substantive;baseline_empty_verified_blank
p0097	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked
p0098	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0099	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0100	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0101	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0102	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0103	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0104	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0105	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0106	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0107	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0108	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0109	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0110	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0111	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0112	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0113	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0114	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0115	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0116	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0117	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0118	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0119	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0120	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0121	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0122	nonempty	usable-with-noise	S2_p0062-p0122	visual_checked;continuous_handwriting
p0123	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0124	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0125	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0126	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0127	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0128	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0129	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0130	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0131	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0132	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0133	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0134	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0135	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0136	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0137	empty	blank-no-substantive	S3_p0123-p0183	visual_checked;visual_blank_or_no_substantive;baseline_empty_verified_blank
p0138	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked
p0139	nonempty	high-noise	S3_p0123-p0183	visual_checked;composite_layout;reading_order_risk
p0140	nonempty	high-noise	S3_p0123-p0183	visual_checked;composite_layout;reading_order_risk
p0141	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked
p0142	nonempty	high-noise	S3_p0123-p0183	visual_checked;composite_layout;reading_order_risk
p0143	nonempty	high-noise	S3_p0123-p0183	visual_checked;backside_or_blank_slips;visual_no_substantive_text;modern_2024_numeric_hallucination
p0144	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked
p0145	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0146	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0147	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0148	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0149	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0150	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0151	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0152	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0153	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0154	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0155	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0156	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0157	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0158	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0159	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0160	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0161	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0162	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0163	nonempty	high-noise	S3_p0123-p0183	visual_checked;composite_layout;reading_order_risk
p0164	nonempty	high-noise	S3_p0123-p0183	visual_checked;composite_layout;reading_order_risk
p0165	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0166	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0167	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0168	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0169	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0170	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0171	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0172	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0173	nonempty	usable-with-noise	S3_p0123-p0183	visual_checked;continuous_handwriting
p0174	empty	blank-no-substantive	S3_p0123-p0183	visual_checked;visual_blank_or_no_substantive;baseline_empty_verified_blank
p0175	empty	blank-no-substantive	S3_p0123-p0183	visual_checked;visual_blank_or_no_substantive;baseline_empty_verified_blank
p0176	nonempty	high-noise	S3_p0123-p0183	visual_checked;composite_layout;reading_order_risk
p0177	nonempty	high-noise	S3_p0123-p0183	visual_checked;composite_layout;reading_order_risk
p0178	nonempty	high-noise	S3_p0123-p0183	visual_checked;composite_layout;reading_order_risk
p0179	nonempty	high-noise	S3_p0123-p0183	visual_checked;composite_layout;reading_order_risk
p0180	nonempty	high-noise	S3_p0123-p0183	visual_checked;composite_layout;reading_order_risk
p0181	nonempty	high-noise	S3_p0123-p0183	visual_checked;composite_layout;reading_order_risk
p0182	nonempty	high-noise	S3_p0123-p0183	visual_checked;composite_layout;reading_order_risk
p0183	nonempty	high-noise	S3_p0123-p0183	visual_checked;composite_layout;reading_order_risk
